,Selected fuel consumption(L),Selected fuel consumption(L),Selected fuel consumption(L),Selected fuel consumption(L),Selected fuel consumption(L),Selected fuel consumption(L),Selected fuel consumption(L),Selected fuel consumption(L),Selected kilometer(L),Selected kilometer(L),Selected kilometer(L),Selected kilometer(L),Selected kilometer(L),Selected kilometer(L),Selected kilometer(L),Selected kilometer(L),Selected speed(km/h),Selected speed(km/h),Selected speed(km/h),Selected speed(km/h),Selected speed(km/h),Selected speed(km/h),Selected speed(km/h),Selected speed(km/h),RPM,RPM,RPM,RPM,RPM,RPM,RPM,RPM,Accelerator pedal position,Accelerator pedal position,Accelerator pedal position,Accelerator pedal position,Accelerator pedal position,Accelerator pedal position,Accelerator pedal position,Accelerator pedal position,Clutch switch,Clutch switch,Clutch switch,Clutch switch,Clutch switch,Clutch switch,Clutch switch,Clutch switch,Brake switch,Brake switch,Brake switch,Brake switch,Brake switch,Brake switch,Brake switch,Brake switch,Interval brake times,Interval brake times,Interval brake times,Interval brake times,Interval brake times,Interval brake times,Interval brake times,Interval brake times
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
0,3595.0,734.9250125173569,232.51866785514912,0.0,773.78,794.46,839.89,847.03,3595.0,34975.89791376828,10991.3187199204,0.0,38254.5,38401.5,38545.1,38587.1,3595.0,21.207757997218387,25.92655444435346,0.0,0.0,11.5,38.71,100.2,2281.0,1442.4427882507673,602.4384735214777,0.0,807.0,1585.0,1765.0,3597.0,2281.0,27.189829022358648,29.873619795125844,0.0,0.0,21.6,47.6,98.8,2281.0,0.37746602367382726,0.48485924599665065,0.0,0.0,0.0,1.0,1.0,2281.0,0.20955721174923278,0.4070818556333721,0.0,0.0,0.0,0.0,1.0,3595.0,0.1952712100139082,0.9174193212842826,0.0,0.0,0.0,0.0,43.0
